race_id,rank,frame_number,horse_number,horse_id,sex_and_age,burden_weight,rider_id,goal_time,goal_time_dif,time_value,half_way_rank,last_time,odds,popular,horse_weight,tame_time,tamer_id,owner_id
200606030811,1,3,5,2003102205,牡3,57,00637,1:59.9,,"

**

",6-5-4-3,35.1,14.5,6,504(-4),"

",00212,523005
200606030811,2,1,2,2003102720,牡3,57,01046,2:00.0,1/2,"

**

",9-8-6-9,34.8,34.3,10,464(0),"

",00348,542800
200606030811,3,3,6,2003102558,牡3,57,05203,2:00.3,2,"

**

",13-13-10-9,34.8,5.6,2,476(-6),"

",01071,056002
200606030811,4,7,15,2003102991,牡3,57,00666,2:00.4,1/2,"

**

",13-15-12-12,34.8,2.2,1,478(+6),"

",00348,398002
200606030811,5,1,1,2003102955,牡3,57,01014,2:00.5,1/2,"

**

",2-2-2-1,36.2,7.2,3,486(-4),"

",01011,056002
200606030811,6,6,12,2003104910,牡3,57,00422,2:00.5,アタマ,"

**

",16-16-15-13,34.6,8.7,4,470(-2),"

",01061,019800
200606030811,7,8,16,2003110004,牡3,57,00660,2:00.6,3/4,"

**

",8-10-6-6,35.4,13.6,5,480(-4),"

",00386,138007
200606030811,8,7,13,2003102986,牡3,57,00711,2:00.7,クビ,"

**

",11-11-6-6,35.5,60.3,13,474(0),"

",01017,486800
200606030811,9,5,10,2003105155,牡3,57,00733,2:00.8,3/4,"

**

",15-13-10-9,35.4,221.3,18,456(-8),"

",00138,078800
200606030811,10,7,14,2003101859,牡3,57,00700,2:01.2,2.1/2,"

**

",18-18-17-15,35.1,33.5,9,438(-14),"

",01075,687006
200606030811,11,2,3,2003103038,牡3,57,00894,2:01.2,クビ,"

**

",4-4-5-4,36.3,52.2,12,470(-2),"

",00110,708800
200606030811,12,6,11,2003110015,牡3,57,00705,2:01.4,1.1/4,"

**

",1-1-1-2,37.2,33.0,8,448(0),"

",00427,582008
200606030811,13,2,4,2003102977,牡3,57,00945,2:01.5,クビ,"

**

",9-8-6-6,36.3,19.3,7,444(0),"

",00348,151006
200606030811,14,8,18,2003103165,牡3,57,00672,2:02.0,3,"

**

",3-3-3-4,37.5,210.4,17,478(0),"

",00146,897009
200606030811,15,4,8,2003100697,牡3,57,01043,2:02.2,1.1/2,"

**

",11-11-15-18,36.4,144.2,14,500(+2),"

",01071,948006
200606030811,16,8,17,2003102281,牡3,57,01032,2:02.3,クビ,"

**

",4-5-12-16,36.7,160.0,15,472(0),"

",01021,966002
200606030811,17,4,7,2003102394,牡3,57,00684,2:02.3,クビ,"

**

",17-17-18-16,36.1,47.3,11,462(-8),"

",00423,331002
200606030811,18,5,9,2003103122,牡3,57,00635,2:02.6,1.3/4,"

**

",6-7-12-13,37.0,195.3,16,452(-10),"

",00131,772002
200706030811,1,8,17,2004102884,牡3,57,00684,1:59.9,,"

**

",2-1-1-1,35.9,17.3,7,476(0),"

",01002,372006
200706030811,2,5,9,2004105897,牡3,57,01085,1:59.9,ハナ,"

**

",1-2-2-2,35.7,100.6,15,466(-8),"

",01086,453006
200706030811,3,1,1,2004102834,牡3,57,00945,1:59.9,ハナ,"

**

",13-12-11-9,33.9,3.7,2,506(-10),"

",01011,056002
200706030811,4,7,15,2004102987,牡3,57,00666,2:00.1,1.1/2,"

**

",16-15-13-12,33.9,2.7,1,444(-2),"

",00348,398002
200706030811,5,5,10,2004102272,牡3,57,01014,2:00.2,1/2,"

**

",3-3-3-3,35.4,54.0,11,456(+2),"

",01013,523005
200706030811,6,1,2,2004100933,牡3,57,00705,2:00.2,クビ,"

**

",10-9-8-7,34.6,30.7,9,464(-4),"

",01044,032800
200706030811,7,6,12,2004103163,牡3,57,01026,2:00.4,1,"

**

",4-4-3-3,35.6,16.0,6,486(-2),"

",01058,537009
200706030811,8,3,6,2004102753,牡3,57,00663,2:00.5,クビ,"

**

",17-17-16-16,34.1,8.5,3,410(-6),"

",01071,226800
200706030811,9,8,18,2004103171,牡3,57,00733,2:00.5,クビ,"

**

",10-11-11-11,34.5,10.2,4,456(-14),"

",00138,758005
200706030811,10,2,3,2004101099,牡3,57,00711,2:00.6,1/2,"

**

",7-7-7-7,35.2,67.0,12,502(-2),"

",00399,546800
200706030811,11,4,8,2004104892,牡3,57,01093,2:00.8,1.1/4,"

**

",13-14-13-14,34.7,12.0,5,462(+4),"

",00396,945004
200706030811,12,8,16,2004110153,牡3,57,00660,2:01.0,1.1/2,"

**

",7-8-8-9,35.3,19.4,8,504(+2),"

",00386,124008
200706030811,13,4,7,2004100730,牡3,57,01032,2:01.1,1/2,"

**

",10-12-13-14,35.0,79.5,13,432(-6),"

",00301,306008
200706030811,14,2,4,2004105511,牡3,57,00709,2:01.2,1/2,"

**

",9-9-10-12,35.3,243.2,18,492(-12),"

",00395,078006
200706030811,15,6,11,2004102850,牡3,57,00700,2:01.3,1/2,"

**

",18-18-18-17,34.7,46.7,10,436(0),"

",00110,708800
200706030811,16,3,5,2004110033,牡3,57,05203,2:01.3,ハナ,"

**

",5-5-6-5,36.0,94.9,14,496(0),"

",00201,297002
200706030811,17,7,13,2004102495,牡3,57,01088,2:01.8,3,"

**

",15-15-16-17,35.4,150.1,17,494(-4),"

",00413,334009
200706030811,18,7,14,2004110071,牡3,57,00641,2:02.1,2,"

**

",5-5-5-5,37.0,134.9,16,468(-4),"

",01067,584007
200806030811,1,3,6,2005102216,牡3,57,01088,2:01.7,,"

**

",1-1-1-1,35.2,17.1,7,446(-18),"

",00427,415800
200806030811,2,1,1,2005102236,牡3,57,00641,2:02.1,2.1/2,"

**

",12-11-11-8,34.7,16.7,6,498(-6),"

",01012,415800
200806030811,3,5,9,2005105526,牡3,57,01085,2:02.1,ハナ,"

**

",9-9-8-6,35.0,3.1,1,450(-2),"

",00119,546800
200806030811,4,3,5,2005101710,牡3,57,00945,2:02.1,クビ,"

**

",13-13-15-13,34.3,13.5,5,480(-6),"

",01046,561009
200806030811,5,8,16,2005101851,牡3,57,00732,2:02.2,クビ,"

**

",2-2-2-2,35.5,43.9,15,460(-2),"

",00131,772002
200806030811,6,5,10,2005102491,牡3,57,00666,2:02.2,ハナ,"

**

",9-11-11-8,34.8,5.6,2,530(-2),"

",01011,708800
200806030811,7,7,14,2005102570,牡3,57,01093,2:02.5,1.3/4,"

**

",4-5-6-4,35.5,18.7,8,464(-6),"

",00343,708800
200806030811,8,2,3,2005102469,牡3,57,00660,2:02.6,3/4,"

**

",6-7-8-8,35.4,21.7,9,430(-16),"

",01051,056002
200806030811,9,1,2,2005106738,牡3,57,00894,2:02.6,アタマ,"

**

",2-3-2-3,35.8,11.4,4,472(+2),"

",01005,229002
200806030811,10,7,15,2005105373,牡3,57,05203,2:02.7,1/2,"

**

",4-3-4-4,35.8,38.9,14,454(-6),"

",00110,513800
200806030811,11,8,17,2005102307,牡3,57,00422,2:02.9,1.1/4,"

**

",16-16-15-15,35.2,25.2,11,482(-6),"

",00343,430006
200806030811,12,4,8,2005105718,牡3,57,01032,2:02.9,クビ,"

**

",13-15-14-13,35.4,22.7,10,514(-2),"

",00388,248005
200806030811,13,6,12,2005103246,牡3,57,01029,2:02.9,アタマ,"

**

",18-18-17-15,34.9,61.8,16,482(-2),"

",01005,331006
200806030811,14,8,18,2005101397,牡3,57,00663,2:03.1,1.1/4,"

**

",13-13-6-8,36.1,7.0,3,482(0),"

",00409,331002
200806030811,15,7,13,2005105009,牡3,57,01095,2:03.2,1/2,"

**

",9-9-8-12,36.0,33.9,13,464(+4),"

",01028,542800
200806030811,16,4,7,2005104078,牡3,57,01026,2:03.2,クビ,"

**

",17-16-17-15,35.3,79.5,18,476(-10),"

",01009,312007
200806030811,17,2,4,2005102554,牡3,57,00711,2:03.3,1/2,"

**

",6-6-4-6,36.4,33.5,12,464(-4),"

",00412,355003
200806030811,18,6,11,2005100097,牡3,57,01014,2:04.1,5,"

**

",6-7-11-15,36.7,66.6,17,476(-4),"

",01048,660007
